Débito;Crédito;Data;Valor;Histórico
1;6;08/01/2025;6.436,66;821 Pix - Recebido
1;6;08/01/2025;25.844,45;900 Ifood.com credito
6;1;08/01/2025;-2.965,70;109 Pagamento de Boleto
6;1;08/01/2025;-4.731,50;109 Pagamento de Boleto
6;1;08/01/2025;-6.873,15;109 Pagamento de Boleto
6;1;08/01/2025;-5.933,00;109 Pagamento de Boleto
6;1;08/01/2025;-6.725,59;361 Pgto conta agua
6;1;08/01/2025;-4.000,00;144 Pix - Enviado
6;1;08/01/2025;-96,99;435 Tarifa Pacote de Servicos
5;1;08/01/2025;-955,18;351 BB Rende Facil
6;1;10/01/2025;-97,00;435 Tarifa Pacote de Servicos
1;5;10/01/2025;97,00;798 BB Rende Facil
1;6;15/01/2025;22.816,58;900 Ifood.com credito
1;6;15/01/2025;7.757,18;821 Pix - Recebido
6;1;15/01/2025;-31.400,00;144 Pix - Enviado
1;5;15/01/2025;826,24;798 BB Rende Facil
1;6;22/01/2025;19.419,47;900 Ifood.com credito
1;6;22/01/2025;8.757,87;821 Pix - Recebido
6;1;22/01/2025;-653,35;109 Pagamento de Boleto
6;1;22/01/2025;-1.560,00;109 Pagamento de Boleto
6;1;22/01/2025;-2.382,50;109 Pagamento de Boleto
6;1;22/01/2025;-2.438,00;109 Pagamento de Boleto
6;1;22/01/2025;-7.698,60;109 Pagamento de Boleto
5;1;22/01/2025;-13.444,89;351 BB Rende Facil
6;1;23/01/2025;-94,90;109 Pagamento de Boleto
6;1;23/01/2025;-5.000,00;144 Pix - Enviado
6;1;23/01/2025;-526,05;109 Pagamento de Boleto
6;1;23/01/2025;-856,65;109 Pagamento de Boleto
6;1;23/01/2025;-2.349,00;109 Pagamento de Boleto
6;1;23/01/2025;-3.498,60;109 Pagamento de Boleto
1;5;23/01/2025;12.325,20;798 BB Rende Facil
1;6;24/01/2025;27.000,00;821 Pix - Recebido
6;1;24/01/2025;-1.485,91;109 Pagamento de Boleto
6;1;24/01/2025;-1.741,25;109 Pagamento de Boleto
6;1;24/01/2025;-2.120,40;109 Pagamento de Boleto
6;1;24/01/2025;-2.666,00;109 Pagamento de Boleto
6;1;24/01/2025;-7.091,77;109 Pagamento de Boleto
6;1;24/01/2025;-1.446,50;109 Pagamento de Boleto
6;1;24/01/2025;-4.916,30;109 Pagamento de Boleto
6;1;24/01/2025;-5.614,90;109 Pagamento de Boleto
1;5;24/01/2025;83,03;798 BB Rende Facil
1;6;27/01/2025;34.000,00;821 Pix - Recebido
1;6;27/01/2025;7.000,00;821 Pix - Recebido
1;6;27/01/2025;17.400,00;821 Pix - Recebido
6;1;27/01/2025;-209,77;109 Pagamento de Boleto
6;1;27/01/2025;-610,54;109 Pagamento de Boleto
6;1;27/01/2025;-1.492,50;109 Pagamento de Boleto
6;1;27/01/2025;-633,00;109 Pagamento de Boleto
6;1;27/01/2025;-1.258,39;109 Pagamento de Boleto
6;1;27/01/2025;-1.621,85;109 Pagamento de Boleto
6;1;27/01/2025;-2.959,00;109 Pagamento de Boleto
6;1;27/01/2025;-5.274,75;109 Pagamento de Boleto
6;1;27/01/2025;-5.524,75;109 Pagamento de Boleto
6;1;27/01/2025;-12.797,09;109 Pagamento de Boleto
6;1;27/01/2025;-155,00;109 Pagamento de Boleto
6;1;27/01/2025;-166,00;109 Pagamento de Boleto
6;1;27/01/2025;-372,50;109 Pagamento de Boleto
6;1;27/01/2025;-1.091,70;109 Pagamento de Boleto
6;1;27/01/2025;-442,33;109 Pagamento de Boleto
6;1;27/01/2025;-444,63;109 Pagamento de Boleto
6;1;27/01/2025;-898,20;109 Pagamento de Boleto
6;1;27/01/2025;-2.065,50;109 Pagamento de Boleto
6;1;27/01/2025;-3.075,75;109 Pagamento de Boleto
6;1;27/01/2025;-3.310,64;109 Pagamento de Boleto
6;1;27/01/2025;-3.713,70;109 Pagamento de Boleto
6;1;27/01/2025;-8.756,41;109 Pagamento de Boleto
6;1;27/01/2025;-25,37;144 Pix - Enviado
5;1;27/01/2025;-1.500,63;351 BB Rende Facil
1;6;28/01/2025;50.000,00;821 Pix - Recebido
1;6;28/01/2025;45.000,00;821 Pix - Recebido
1;6;28/01/2025;15.000,00;821 Pix - Recebido
6;1;28/01/2025;-2.690,00;109 Pagamento de Boleto
6;1;28/01/2025;-2.251,40;109 Pagamento de Boleto
6;1;28/01/2025;-700,00;109 Pagamento de Boleto
6;1;28/01/2025;-5.454,31;109 Pagamento de Boleto
6;1;28/01/2025;-6.288,33;109 Pagamento de Boleto
6;1;28/01/2025;-10.934,40;109 Pagamento de Boleto
6;1;28/01/2025;-17.206,92;109 Pagamento de Boleto
6;1;28/01/2025;-25.800,00;109 Pagamento de Boleto
6;1;28/01/2025;-26.284,03;109 Pagamento de Boleto
6;1;28/01/2025;-306,64;109 Pagamento de Boleto
6;1;28/01/2025;-113,15;109 Pagamento de Boleto
6;1;28/01/2025;-416,15;109 Pagamento de Boleto
6;1;28/01/2025;-286,04;109 Pagamento de Boleto
6;1;28/01/2025;-725,20;109 Pagamento de Boleto
6;1;28/01/2025;-1.166,37;109 Pagamento de Boleto
6;1;28/01/2025;-2.425,63;109 Pagamento de Boleto
6;1;28/01/2025;-1.560,00;109 Pagamento de Boleto
6;1;28/01/2025;-3.365,36;109 Pagamento de Boleto
5;1;28/01/2025;-2.026,07;351 BB Rende Facil
1;6;29/01/2025;32.267,80;900 Ifood.com credito
1;6;29/01/2025;681,52;821 Pix - Recebido
1;6;29/01/2025;11.888,68;821 Pix - Recebido
6;1;29/01/2025;-1.400,00;109 Pagamento de Boleto
6;1;29/01/2025;-1.508,07;109 Pagamento de Boleto
6;1;29/01/2025;-4.663,45;109 Pagamento de Boleto
6;1;29/01/2025;-5.942,10;109 Pagamento de Boleto
6;1;29/01/2025;-175,00;109 Pagamento de Boleto
6;1;29/01/2025;-2.382,50;109 Pagamento de Boleto
6;1;29/01/2025;-1.985,60;109 Pagamento de Boleto
6;1;29/01/2025;-653,35;109 Pagamento de Boleto
6;1;29/01/2025;-2.714,70;109 Pagamento de Boleto
6;1;29/01/2025;-3.500,00;144 Pix - Enviado
5;1;29/01/2025;-19.913,23;351 BB Rende Facil
1;6;30/01/2025;10.000,00;821 Pix - Recebido
6;1;30/01/2025;-273,70;109 Pagamento de Boleto
6;1;30/01/2025;-1.172,05;109 Pagamento de Boleto
6;1;30/01/2025;-839,30;109 Pagamento de Boleto
6;1;30/01/2025;-844,36;109 Pagamento de Boleto
6;1;30/01/2025;-988,30;109 Pagamento de Boleto
6;1;30/01/2025;-961,99;109 Pagamento de Boleto
6;1;30/01/2025;-1.100,08;109 Pagamento de Boleto
6;1;30/01/2025;-24.306,03;109 Pagamento de Boleto
6;1;30/01/2025;-106,33;109 Pagamento de Boleto
1;5;30/01/2025;20.592,14;798 BB Rende Facil
1;6;31/01/2025;44.000,00;821 Pix - Recebido
6;1;31/01/2025;-675,12;109 Pagamento de Boleto
6;1;31/01/2025;-1.485,91;109 Pagamento de Boleto
6;1;31/01/2025;-6.516,00;109 Pagamento de Boleto
6;1;31/01/2025;-12.797,09;109 Pagamento de Boleto
6;1;31/01/2025;-7.091,76;109 Pagamento de Boleto
6;1;31/01/2025;-851,40;109 Pagamento de Boleto
6;1;31/01/2025;-947,18;109 Pagamento de Boleto
6;1;31/01/2025;-5.236,50;109 Pagamento de Boleto
6;1;31/01/2025;-5.614,90;109 Pagamento de Boleto
6;1;31/01/2025;-1.621,85;109 Pagamento de Boleto
6;1;31/01/2025;-530,15;375 Impostos
5;1;31/01/2025;-632,14;351 BB Rende Facil
